,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-08-27,0.0472875402542853,0.0337669275977767,0.0117412635854304,0.0455081911832069,0.0020709954647673,0,0,0,0,0.4533160461025375
2015-08-28,0.0148638800676833,0.0064085666593846,0.0028614881369015,0.009270054796286,8.593391592614627e-05,0,0,0,0,0.160944789049595
2015-08-31,0.0222613104765733,0.0064805588783778,-0.0038223967603056,0.0026581621180725,7.065825845956058e-06,0,0,0,0,0.2490680620502278
2015-09-01,0.0253910152627717,-0.0249227275682599,-0.0079074759774042,-0.0328302035456644,0.0010778222648497,0,0,0,0,0.1911123406971104
2015-09-02,0.0204022855667457,0.0094915966815716,0.0067429369022387,0.0162345335838103,0.0002635600806838,0,0,0,0,0.2348098960254671
2015-09-03,0.0231730171575409,-0.006480984578244,0.0028757530932835,-0.0036052314849603,1.2997694060149712e-05,0,0,0,0,0.2562338012105353
2015-09-04,0.0172599143395127,-0.0117911882082005,-0.0063406009527742,-0.0181317891609746,0.000328761778178,0,0,0,0,0.1847510513961802
2015-09-07,0.0172599143395127,-0.0117911882082005,-0.0063406009527742,-0.0181317891609746,0.000328761778178,0,0,0,0,0.1847510513961802
2015-09-08,0.0200081413789373,0.0081136943149154,0.0138032471663374,0.0219169414812525,0.0004803523238926,0,0,0,0,0.303390855406324
2015-09-09,0.0215784804650598,-0.0081213847038687,0.0121610688186335,0.0040396841147649,1.6319047747084384e-05,0,0,0,0,0.2991947759183183
2015-09-10,0.0280628499616582,0.0112550880459381,-0.0018930287782509,0.009362059267687,8.764815373168541e-05,0,0,0,0,0.2963098058751084
2015-09-11,0.0175050927987194,0.016411989577553,-0.0077507439069758,0.0086612456705768,7.501717656608536e-05,0,0,0,0,0.1659159241148008
2015-09-14,0.0267345031111771,0.0149306353909143,0.0001768431392773,0.0151074785301914,0.0002282359075401,0,0,0,0,0.2614642124472573
2015-09-15,0.0137604153823964,0.0023284905523005,0.0038062329689004,0.006134723521201,3.763483268157723e-05,0,0,0,0,0.1642589631749833
2015-09-16,0.0088853904162128,-0.002498816517157,0.0009470920678666,-0.0015517244492904,2.407848766525641e-06,0,0,0,0,0.0978055346823066
2015-09-17,0.0097891369490514,-0.0060632494110577,-0.0009494627617591,-0.0070127121728167,4.917813201877205e-05,0,0,0,0,0.0933951999997522
2015-09-18,0.0194274246192204,-0.0087425245192043,-0.0021769986988839,-0.0109195232180883,0.0001192359873103,0,0,0,0,0.2032473871196044
2015-09-21,0.0118096110745868,0.0089231630472599,-0.0004392708175176,0.0084838922297421,7.19764273658785e-05,0,0,0,0,0.0993502775309093
